epoch,method,batch_size,learning_rate,train_loss,test_accuracy,epoch_time
50,adabatch,512,0,0.0018589014258488254,93.32,11.081734657287598
51,adabatch,512,0,0.0018542914185672998,93.44,10.85632586479187
52,adabatch,512,0,0.0018018680393806327,93.42,10.911840438842773
53,adabatch,512,0,0.0017792657787232833,93.36,10.848097085952759
54,adabatch,512,0,0.0017986121327000653,93.38,10.82190752029419
55,adabatch,512,0,0.0018143866436113997,93.35,10.890705347061157
56,adabatch,512,0,0.0017946208215523828,93.33,10.870321273803711
57,adabatch,512,0,0.0018015604405032502,93.34,11.04443907737732
58,adabatch,512,0,0.0018188952709058837,93.29,10.855897188186646
59,adabatch,512,0,0.001799596988564452,93.31,10.816070556640625
60,adabatch,512,0,0.0017848626890030327,93.38,10.975957870483398
61,adabatch,1024,0,0.0016317477832564105,93.34,10.795199632644653
62,adabatch,1024,0,0.0016462706735799627,93.35,10.751274347305298
63,adabatch,1024,0,0.0016472089830470288,93.33,10.731518268585205
64,adabatch,1024,0,0.0016358875199931405,93.28,10.776075601577759
65,adabatch,1024,0,0.0016609839680683562,93.31,10.782455921173096
66,adabatch,1024,0,0.001658786182938996,93.31,10.722573041915894
67,adabatch,1024,0,0.0016610380972467236,93.28,10.788097143173218
68,adabatch,1024,0,0.0016637387709155427,93.28,10.74868631362915
69,adabatch,1024,0,0.0016595085439572142,93.24,10.767878293991089
70,adabatch,1024,0,0.0016719406959995375,93.26,10.75719165802002
71,adabatch,1024,0,0.0016701368622923807,93.33,10.752328872680664
72,adabatch,1024,0,0.0016837926104001828,93.26,10.768209218978882
73,adabatch,1024,0,0.00168708024420223,93.28,10.773876190185547
74,adabatch,1024,0,0.0016756958557071827,93.27,10.769335746765137
75,adabatch,1024,0,0.0016820051360054542,93.29,10.779242992401123
76,adabatch,1024,0,0.001690541579530148,93.27,10.768118619918823
77,adabatch,1024,0,0.001689312038390692,93.3,10.730724096298218
78,adabatch,1024,0,0.0016937111839809913,93.32,10.786224365234375
79,adabatch,1024,0,0.0017054392581300462,93.25,10.791582584381104
80,adabatch,1024,0,0.0016862424544327088,93.32,10.760132312774658
81,adabatch,2048,0,0.0016319095816773673,93.3,10.782901763916016
82,adabatch,2048,0,0.001645877064826588,93.26,10.7062087059021
83,adabatch,2048,0,0.001630523195490241,93.29,10.886244535446167
84,adabatch,2048,0,0.0016432154535626373,93.27,10.853652238845825
85,adabatch,2048,0,0.0016392651169250408,93.28,10.897230863571167
86,adabatch,2048,0,0.001643211980505536,93.27,10.944323539733887
87,adabatch,2048,0,0.001645275733123223,93.29,10.942517280578613
88,adabatch,2048,0,0.0016545621445402503,93.25,10.921536207199097
89,adabatch,2048,0,0.0016335135985476275,93.31,10.75366473197937
90,adabatch,2048,0,0.0016461294532443087,93.25,10.908569574356079
91,adabatch,2048,0,0.0016496427784052988,93.29,10.735499620437622
92,adabatch,2048,0,0.001648621897523602,93.25,10.723616600036621
93,adabatch,2048,0,0.0016343223745934666,93.28,10.85840654373169
94,adabatch,2048,0,0.0016453263078195354,93.25,10.749744176864624
95,adabatch,2048,0,0.001643585425335914,93.26,10.720615148544312
96,adabatch,2048,0,0.001643327654649814,93.26,10.753584384918213
97,adabatch,2048,0,0.0016524824236209194,93.24,10.682003498077393
98,adabatch,2048,0,0.0016397686131919423,93.26,10.770179748535156
99,adabatch,2048,0,0.0016487795005862911,93.28,10.718458652496338
100,adabatch,2048,0,0.0016579133497240642,93.28,10.720227241516113
